## RECSRecommendations Upload File,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,
## RECS,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.material,entity.discountpct,entity.price,entity.sale
PC0001,Giant Rattles the Groundbreaking Skeleton Plastic Yard Decorating Kit,Halloween Outdoor Décor,,https://cdn.media.amplience.net/i/partycity/965440?$pdpMedium$&fmt=auto&qlt=default,299.99,https://www.partycity.com/giant-rattles-the-groundbreaking-skeleton-plastic-yard-decorating-kit-8pc-965440.html,in stock,100,plastic,20,299.99,yes
PC0002,Embers the Pumpkin Skeleton Black Light Reactive Ground Breaker,Halloween Outdoor Décor,,https://cdn.media.amplience.net/i/partycity/976786?$pdpMedium$&fmt=auto&qlt=default,219.99,https://www.partycity.com/embers-the-pumpkin-skeleton-black-light-reactive-ground-breaker-4ft-976786.html,in stock,100,plastic and metal,20,219.99,no
PC0003,Light-Up Prismatic LED Bat Decoration,Halloween Outdoor Décor,,https://cdn.media.amplience.net/i/partycity/983260?$pdpMedium$&fmt=auto&qlt=default,34.99,https://www.partycity.com/light-up-prismatic-led-bat-decoration-24.5in-x-8.1in-983260.html,in stock,100,plastic and wiring,20,34.99,no
PC0004,Animatronic Light-Up Talking Dropdown Scarecrow Decoration,Halloween Outdoor Décor,,https://cdn.media.amplience.net/i/partycity/967049?$pdpMedium$&fmt=auto&qlt=default,219.99,https://www.partycity.com/animatronic-light-up-talking-dropdown-scarecrow-decoration-8.2ft-967049.html,in stock,100,"metal, fabric, and plastic",20,219.99,no
PC0005,Jack Skellington & Sally Hanging Decoration Set,Halloween Outdoor Décor,,https://cdn.media.amplience.net/i/partycity/976283?$pdpMedium$&fmt=auto&qlt=default,7.99,https://www.partycity.com/jack-skellington-and-sally-hanging-decoration-set-2pc---the-nightmare-before-christmas-976283.html,in stock,100,paper and cardstock,20,7.99,no
PC0006,Light-Up Prismatic LED Ghost Decoration,Halloween Outdoor Décor,,https://cdn.media.amplience.net/i/partycity/983259_02?$pdpMedium$&fmt=auto&qlt=default,34.99,https://www.partycity.com/light-up-prismatic-led-ghost-decoration-12in-x-16.3in-983259.html,In stock,200,plastic and wiring,15,34.99,no
PC0007,Shelley the Hanging Poseable Disco Mirror Skeleton,Halloween Outdoor Décor,,https://cdn.media.amplience.net/i/partycity/983384?$pdpMedium$&fmt=auto&qlt=default,199.99,https://www.partycity.com/shelly-the-hanging-poseable-disco-mirror-skeleton-6ft---halloween-decoration-983384.html,In stock,200,plastic,15,199.99,no
PC0008,"Lock, Shock & Barrel Hanging Decoration Set",Halloween Outdoor Décor,,https://cdn.media.amplience.net/i/partycity/976282?$pdpMedium$&fmt=auto&qlt=default,9.99,https://www.partycity.com/lock-shock-and-barrel-hanging-decoration-set-3pc---the-nightmare-before-christmas-976282.html,In stock,200,paper and cardstock,15,9.99,no
